dataset,embedding_dim,epsilon,contaminated_percentage,train_test_split_rate,error,violated_constraints,use_additive_weights
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.02733715828552143,13110,True
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.026493418832264595,13084,True
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.02729570345408593,13254,False
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.02729570345408593,13240,False
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.03539094650205761,13047,True
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.034238683127572014,13025,True
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.032559692770078474,13172,False
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.03239271998664218,13149,False
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.03493814777666333,13121,True
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.03460381143430291,13095,True
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.03898667544003948,13227,False
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.03832867247902615,13209,False
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.03670949441014517,13018,True
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.036542633071917234,12991,True
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.035845281760586864,13176,False
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.035845281760586864,13155,False
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.02966604509238854,13337,True
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.028987964061705375,13323,True
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3,0.03291139240506329,13252,False
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3,0.03274261603375527,13232,False
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3, 0.025894771565231733,13206,True
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3, 0.025564901863763815,13188,True
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3, 0.03856472166331321,13209,False
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3, 0.03789403085177733,13179,False
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3, 0.04494756117862494,13110,True
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3, 0.04428167138338605,13095,True
RANDOM_DATASET,1,0.1111111111111111,0.2,0.3, 0.03511677985754514,12952,False
RANDOM_DATASET,2,0.1111111111111111,0.2,0.3, 0.03528242504555243,12923,False
RANDOM_DATASET,1,0.1111111111111111,0.25,0.3, 0.034339056509418237,13299,True
RANDOM_DATASET,2,0.1111111111111111,0.25,0.3, 0.034005667611268546,13279,True
RANDOM_DATASET,1,0.1111111111111111,0.25,0.3, 0.03451725862931466,13288,False
RANDOM_DATASET,2,0.1111111111111111,0.25,0.3, 0.03401700850425213,13269,False
